,IDs,Sequence,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Unnamed: 22
44,NonAllergen_2518,mlvpkrvkhrrefrgkmrgeakggkevafgeyglqattshwitnrqieaariamtrymkrggkvwikifphksytakaigvrmgsgkgapegwvapvkrgkvmfeiagvseeiarealrlashklpvkckfvkreae,10.95,0.73,0.0,8.76,3.65,10.95,2.92,5.84,12.41,3.65,4.38,0.73,3.65,1.46,10.22,3.65,3.65,8.03,2.19,2.19,0
45,NonAllergen_7799,mdrrwkvmtdqtasselrvaiaglgsigtkiaaaldqgegltlsavavrdpakhqaflnglrrppqvlpidqlgeaadivvecapssqlraivepavkrgkaavvvsvgglldnfdlvdlaranggriivptgaligldavnaavigtihsvkmvtrkpidglkgapfivhnnididtlreplklfegtareaakgfpanlnvavalslagvgpdrtsvqiwadptvtrnvhrieveadsarfsmsienipsenpktglitalsviallrkqratlcvgt,13.21,0.71,5.71,4.29,2.14,8.21,1.43,7.5,4.29,10.0,1.43,3.93,5.36,2.86,6.79,5.36,5.71,10.36,0.71,0.0,0
46,NonAllergen_5153,makksliqrerkrqkleqkyhlirrsskkkirskvyplslsektkmreklqslprnsaptrlhrrcfltgrpranyrdfglsghilremvyacllpgatrssw,4.85,1.94,0.97,4.85,1.94,3.88,2.91,3.88,11.65,12.62,2.91,1.94,4.85,3.88,15.53,10.68,3.88,1.94,0.97,3.88,0
47,NonAllergen_9538,mekqyllyegkakkvyatnekhvlwieykdeatafngekkativgkgrlnneitsllfsllheagvsnhfirkisdteqlvrqvtiiplevvvrnivagslakrigleegtvmkkpivefyyknddlgdplltedhiallqlathdellymkqmalrindiltslfrscdlqlvdfklefgkdetgavlladeispdtcrlwdvhtkekfdkdvfrrdlgdltetytkllqrlgglsctk,5.42,1.25,7.5,8.33,3.75,5.83,2.5,5.83,9.17,14.58,1.67,3.33,1.67,2.92,4.58,3.75,7.08,6.67,0.83,3.33,0
48,NonAllergen_1876,maaglitikrriqsitntrkitkamgliatstlrkarrnldanlsyyssfedvmkkvssgilgeniytngngskeklyitmtsdaglcggfngnvvnaavseiskdrenslimsvgqkgrgyfkrlqydtiaeyvdiqneptlteaktisehalslynkgeigeinivyskfistikqdiiikrvlpfdmkdikydgsiefepeineliegivavylksqlfnfllnskaseqaskmtamdsatknanellddlnlrynrirqsaitqeiteivsgaeaqk,7.47,0.36,4.63,7.47,2.85,6.41,0.36,11.03,8.19,8.19,2.85,7.12,1.07,3.56,4.63,8.9,6.41,4.27,0.0,4.27,0
49,NonAllergen_7000,mlppkiffekfkeiiwpierkelklfipmalmmlcilfnfgalrsikdslvvpsmgaeiisflklwlvlpscviftvlyvklsnklnfeyifysivgtfllffllfayiiypnqdiyhpndaminnliasypnlkwfikigskwsyalmyifselwsavvinlmfwqfanhifdtakakrfypvlgmignigliiagsvlvffssgqyiidselltdsfnssscnsiilqpiisiivtagiiamflfriinrfiltnainvldvkkaaartktklaliesikliihskyigrialliicygllinivegpwkakikelhpntidyvnfmgmfniwmgiscvtfmiigsnilrrlgwlisalltpimlsitgfiffifiifieeigtcfgdfnllyvaiivgaiqnilsksskyslfdstkemayiplslelrtkgkaavevigtkfgkslgafiqslifiiiptatfdsiiiyllvifivmmnlwiwniiklnkeyiklck,5.79,1.4,2.2,3.39,8.38,4.99,0.8,17.17,6.79,12.18,3.59,5.19,3.19,1.2,2.0,7.39,3.59,4.79,2.2,3.79,0
50,NonAllergen_6428,marigdsgdllkcsfcgksqtqvkkliagpgvyicdecidlcneiieeeladaddvqldelpkpveireflegyvigqdtakrtlavavynhykriqagekgrdskrepvelaksnilmlgptgcgktylaqtlakmlnvpfaiadatalteagyvgedvenillkliqaadydvkraetgiiyidevdkiarksenpsitrdvsgegvqqallkilegtqasvppqggrkhphqefiqidttnvlfivagafagldkiiyerigkrglgfgaevrskaeidttdhfadvmpedlikfglipefigrlpviasvinldmeslvkilsepknalvkqytwlfemdgveleftndaleavadqaihrgtgarglraimeevllpvmydipsrddvakvvvtketvqdnvlptivprkpsrterrdksa,8.92,1.41,7.51,8.45,2.82,7.51,1.17,8.45,6.81,9.15,1.88,2.58,4.46,3.76,5.16,3.76,5.16,8.22,0.23,2.58,0
51,NonAllergen_511,mktsrlpiaiqqavmrrlreklaqanlklgcnypepklsytqrgtsagtawlesyeirlnpvlllenseafieevvphelahllvwkhfgrvaphgkewkwmmesvlgvparrthqfelqsvrrntfpyrckcqehqltvrrhnrvvrgeavyrcvhcgeqlvak,7.27,3.03,0.0,9.09,2.42,4.85,4.85,2.42,5.45,10.91,2.42,3.64,4.85,5.45,10.3,4.24,4.24,9.09,2.42,3.03,0
52,NonAllergen_1216,mskvydwfderleiqaiaddisskyvpphvnifyclggitftcflvqvatgfamtfyyrptvveafasvqyimtevnfgwlirsihrwsasmmvlmmilhvfrvwltggfkkpreltwttgvimavctvsfgvtgyslpwdqvgywavkivtgvpdaipvvgptivellrggvgvgqatltrfyslhtfvlplltavfmlmhflmirkqgisgpl,5.58,1.4,2.79,2.79,6.98,8.37,2.33,6.98,2.79,8.84,5.12,0.93,4.65,2.79,4.19,5.12,8.37,12.56,3.26,4.19,0
54,NonAllergen_7691,mftidfsdhtglvkdawykqiedllefakkeehieddaelsvtfvdkqeiqeinrtyrdkdkvtdvisfaleedepeidfsgldiprvlgdiiictdvaqeqannyghsferelgflalhgflhllgydhmteadekemfgrqdtilnaygltrd,5.81,0.65,12.26,11.61,6.45,5.81,3.87,7.74,5.16,9.68,1.94,2.58,1.29,3.87,3.87,3.23,5.81,4.52,0.65,3.23,0
56,NonAllergen_4746,masgapdgkwkvvkkgkksgerregerkaltesnvtpggtapikmantvyemgfdrihkkqnkeqvppnnmsseqpqkqqqnpgkkkpqsgdsvckqskfhtlecalkaldvaelqrdleksqnmfpenpsiwvkdlagylnyklqtvkndvliqqshdypyclinkelkgivrsllakaphvldvmvdhcifsmlqeldkptgeslhgyriciqavlldkpktvtsnlpkylellrshlnrpmkcltvmwavgqagftdfteglkvwlglmfpvlgvknltpyailyldrlllahsnltkgfgmigpkdffpildfafmpnnsltpsqqenlrnlypklkvlalgatpestlhtyfpsflsratpscpaemrkelihsltdclnkdslsfsvwrqlytkhlsqsslllqhlvetwdsnsramrksvretvhsfkvtngefsgkgssskdleacdaacqallhkmksggfpwwrliviafvflfgsvlydvrthnsfqestsaqilqqsgllsvsreawnkvsnyslqgqswlernvpqyysqavevlgpvleqvwaktqeggayacekgsvllsyakdnlprliewlhssipdsvfqfieylrelllhlhqtyllpavtyleaavqnswqqyvkscngkvtwdcvrgqvgnishsswtylqnttmtftnwaltiisrh,5.6,1.91,3.68,5.15,3.68,5.6,2.95,3.24,7.51,12.37,2.36,4.71,4.86,5.89,3.68,8.98,5.3,6.77,2.36,3.39,0
58,NonAllergen_2676,mrtlliryilwrndndqtyyndnfkklmlldelvddgdvctliknmrmtlsdgplldrlnqpvnniedakrmiaisakvardigerseirweesftilfrmietyfddlmidlygek,3.42,0.85,11.97,6.84,3.42,3.42,0.0,9.4,5.13,12.82,5.98,6.84,1.71,1.71,8.55,3.42,5.13,3.42,1.71,4.27,0
59,NonAllergen_4487,mssdaemavfgeaapylrksekerieaqnkpfdakssvfvvdakesfvkatvqsreggkvtakteggttvtvkddqvypmnppkydkiedmammthlhepavlynlkeryaawmiytysglfcvtvnpykwlpvynaevvaayrgkkrqeapphifsisdnayqfmltdrenqsilitgesgagktvntkrviqyfatiavtgekkkeeatsgkmqgtledqiisanplleafgnaktvrndnssrfgkfirihfgttgklasadietylleksrvtfqlkaersyhifyqimsnkkpdliemllittnpydyafvsqgeitvpsiddqeelmatdsaidilgftsdervsiykltgavmhygnmkfkqkqreeqaepdgtevadkaaylqnlnsadllkalcyprvkvgneyvtkgqtvqqvynsvgalakavyekmflwmvtrinqqldtkqprqyfigvldiagfeifdfnsleqlcinftneklqqffnhhmfvleqeeykkegiewefidfgmdlaacieliekpmgifsileeecmfpkatdtsfknklyeqhlgksnnfqkpkpakgkveahfslvhyagtvdyniagwldknkdplnetvvglyqkssmktlaylfsgaaaaaeaesgggggkkgakkkgssfqtvsalfrenlnklmtnlrsthphfvrciipnetktpgamehelvlhqlrcngvlegiricrkgfpsrilyadfkqrykvlnasaipegqfidskkasekllgsididhtqykfghtkvffkagllglleemrddklaqlitrtqamcrgylarveyqkmverresifciqynvrafmnvkhwpwmklyfkikpllksaetekemanmkeefekakenlakaeakrkeleekmvalmqekndlqlqvqseadsladaeercdqliktkiqleakikevteraedeeeinaeltakkrkledecselkkdiddleltlakvekekhatenkvknlteemagldetiakltkekkalqeahqqtlddlqaeedkvntltkakikleqqvddlegsleqekkirmdlerakrklegdlklaqestmdvendkqqldeklkkkefemsnlqskiedeqalgmqlqkkikelqarieeleeeieaerasrakaekqrsdlsreleeiserleeaggatsaqiemnkkreaefqkmrrdleeatlqheataatlrkkhadsvaelgeqidnlqrvkqklekeksemkmeiddlasnmeviskskgnlekmcrtledqvselktkeeeqqrlineltaqrgrlqtesgeysrqldekdslvsqlsrgkqaftqqieelkrqleeeikaksalahalqssrhdcdllreqyeeeqeakaelqramskansevaqwrtkyetdaiqrteeleeakkklaqrlqdaeehveavnakcaslektkqrlqnevedlmidvertnaacaaldkkqrnfdkilaewkqkyeethaeleasqkesrslstelfkiknayeesldhletlkrenknlqqeisdlteqiaeggkrihelekikkqieqekselqaaleeaeasleheegkilriqlelnqvkseidrkiaekdeeidqlkrnhirvvesmqstldaeirsrndairlkkkmegdlnemeiqlnhsnrmaaealrnyrntqgilkdtqlhlddalrgqedlkeqlamverranllqaeieelratleqtersrkiaeqelldaservqllhtqntslintkkkletdisqiqgemedivqearnaeekakkaitdaammaeelkkeqdtsahlermkknleqtvkdlqhrldeaeqlalkggkkqiqklearvrelegeveneqkrnveaikglrkherrvkeltyqteedrknvlrlqdlvdklqskvkaykrqaeeaeeqsnvnlakfrkiqheleeaeeradiaesqvnklrvksrevhtkiisee,8.86,0.82,5.05,13.44,2.73,3.86,1.96,5.15,10.76,9.84,2.78,4.07,1.49,6.64,5.3,5.1,4.84,4.48,0.46,2.37,0
60,NonAllergen_1961,meekdeseqsisagrqeirkrrrpsqpmvdksqqtevtekkkqlsipqssgpkaalsignipgsklnyechrvssqlqqtwikrkrvqdmadkslqtetiaeekkeeiklvceavvpeekpaavevgpefpesvrevevppnrysvqvkidrsqqttctgdwtmmnfpqkekldkeqqtyfseseivvigwptnsfskskegaqkrkssgniflsehpefqpttssneeirrpsisrtvsisptkkdspvpledekdvpvevqppaaeeisaeeqlplaettseevpvavqpppaeeppleaqpspteeapgdeapakveptpaeealsekppaeealveiqpspveeaagdeapakveatsseetllkepltevqppaaeeapiqdtpelqlspaveapaeeapaeaepppaeeapaeeapevqsppaeeapaeeppeiqsppaeeapaeeppevqsppaeeapaeeapevqsppaeeapaeeppevqsppaeevpageppevqsppaeeapaeeapevqsppaeevpaeealaevepppaeeapagepsevqsppaeeapaeeapevqsppseeapaeeapevqsvpagqapaeeplevqpppaedateeeasevqslptdeapaeeglgfqsppadkapeeeapevqsppaeeapaeeppevqslpadeapaeeateevqsppteespaeeapaelqppsteettsemvsvekqpslteepfitpisleetsaevllppfeqtpadealvenvspvdqapkeadvlveklesgnlddkpkseeplerdtipkdssgtknegvsfeikgvihiele,12.22,0.37,2.93,21.39,1.22,2.44,0.37,3.06,4.77,4.28,0.73,1.22,16.26,5.99,1.96,8.56,4.4,7.09,0.37,0.37,0
61,NonAllergen_8118,mkvievkhplvkhklglmreadistkrfrelakevgslltyeatsdfetekvtidgwngpvevdqikgkkvtvvpilraglgmmdgvlehmpsarvsvvgiyrdeetlqpvpyfqkivsniderlalivdpmlatggsmiatidllkqkgckqikvivlvaapeglaalqaahddvevycasidqglnekgyiipglgdagdkifgtk,7.69,0.96,6.73,7.21,1.92,9.13,1.92,8.17,8.65,9.62,3.37,1.44,4.33,3.37,3.37,3.85,4.81,10.58,0.48,2.4,0
62,NonAllergen_3899,mvsirltfalaivaiifafsvdaaykkppfngsifgkrsntmtdyeftsralsaicevasetctawmsrqesn,13.7,2.74,2.74,5.48,8.22,2.74,0.0,8.22,4.11,4.11,4.11,4.11,2.74,1.37,5.48,12.33,8.22,5.48,1.37,2.74,0
63,NonAllergen_3695,mknkgakqklkrkgaasafgcdlteylessgqdvpyvlkscaefiethgivdgiyrlsgvtsniqrlrqefgsdqcpdltrevylqdihcvgslcklyfrelpnplltyelyekfteavshcpeegqlariqnviqelppshyrtleylirhlahiasfssktnmharnlalvwapnllrskeieatgcngdaaflavrvqqvviefilnhvdqifnngapgslendenrpimksltlpalslpmklvsleeaqarslatnhparkerrenslpeivppmgtlfhtvlelpdnkrklsskskkwksifnlgrsgsdsksklsrngsvfvrgqrlsvekatirpaksmdslcsvpvegketkgnfnrtvttggffipatkmhstgtgsscdltkqegewgqegmppgaeggfdvssdrshlqgaqarpppeqlkvfrpvedpeseqtapkmlgmfytsndspsksvftsslfqmepsprnqrkalnisepfavsvplrvsavistnstpcrtppkelqslssleefsfhgsesggwpeeekplgaetsaasvpkkagledakavpeapgtvecskglsqepgahleekktpesslssqhlnelekrpnpekvveegreagemesstlqespraraeavllhemdeddlanaliwpeiqqelkiieseeelsslpppalktspiqpilesslgpfipseppgslpcgsfpapvstplevwtrdpanqstqgastaasrekpepeqglhpdlaslapleivpfekaspqatvevggpgnlspplppapppptpleestpvllskggperedssrklrtdlyidqlksqdspeisslcqgeeatprhsdkqnsknaasegkgcgfpsptreveivsqeeedvthsvqepsdcdeddtvtdiaqhglemvepweepqwvtsplhsptlkdahkaqvqglqghqlekrlshrpslrqshsldskptvksqwtlevpsssscanleternsdplqpqaprreitgwdekalrsfrefsglkgaeappnqkgpsgvqpnpaetspislaegkelgthlghsspqirqggvpgpesskesspsvqdstspgehpaklqlkstecgppkgknrpsslnldpaipiadlfwfenvasfsspgmqvsepgdpkvtwmtssyckadpwrvysqdpqdldivahaltgrrnsapvsvsavrtsfmvkmcqaravpvippkiqytqipqplpsqssgengvqplersqegpsstsgttqkpakddspsslesskeekpkqdpgaiksspvdatapcmcegptlspepgssnllstqdavvqcrkrmsetepsgdnllssklerpsggskpfhrsrpgrpqslilfsppfpimdhlppsstvtdskvllspirsptqtvspgllcgelaentwvtpegvtlrnkmtipkngqrletstscfyqpqrrsvildgrsgrqie,6.02,1.66,3.81,9.14,2.56,6.51,2.15,3.32,5.68,8.86,1.52,3.12,10.39,5.19,4.92,12.4,5.4,5.33,0.97,1.04,0
64,NonAllergen_4590,mtgrdsassditpevllrayacgifpmaesvddptlfwveperrgiipldgfkvasrlartvrsdvftvsvdrafkqvidgcaapqpgredtwinrrirelyiglyqlghchsvevwqnddlvgglygvnlgraffgesmfhrardaskvalvhlvarlieggfvlldtqfvtehlrtfgatevprrryramldvaitgaadfarlpteqpiagtralaiisgreglgrg,10.0,1.3,6.52,5.65,5.22,9.57,2.17,5.65,1.3,9.13,1.74,1.3,4.35,2.61,10.87,4.78,5.65,8.7,1.3,2.17,0
65,NonAllergen_9141,melddfdpedkeilswdindmklpqnvkktdwfqewpdsyvkhiyssddrsaqrhlsswamrntnnhnsrilkksclgvvvcsrdcsteegrkiylrpaicdkarqkqqrkscpncngplklipcrghggfpvtnfwrhdgrfiffqskgehdhprpetkleaearramkkvhmasassslrmkgrpemkglpgeipsqgslpltwsfqegvqlpsgystplianapqqnslndclsfpksydlggtteledptstldptklyerykfssskvysaedqfqppvpgvygdydeaqtwnknavlgrsptddtyyppyplpvaswpcdylpsqsslehspqqvpleppaaqpghhplwtnpggepyeekvpvdfssyvpsvtyhspqqdpfllaygshpqqqyalpgksnrwdfdeemacmgldhfnnemllnlcslk,4.59,2.52,6.65,5.96,3.44,5.73,3.21,2.29,5.96,8.26,2.29,4.36,10.09,5.5,4.59,9.86,3.9,4.13,2.29,4.36,0
66,NonAllergen_1193,mfnvrqliattlllscafaaqaerlkdiasisgvrsnqligyglvvglngtgdqttqtpftlqtfnnmlsqfgikvpagsgnvqlknvaavsvhadlppfakpgqvvditvssignskslrggsllmtplkgidgnvyaiaqgnlvvggfdaegrdgskitvnvpsagripggasveravpsgfnqgntltlnlnrpdfttakrivdkvndllgpgvaqavdggsvrvsapmdpsqrvdylsilenleidpgqavakviinsrtgtivigqnvkvspaavthgsltvtitedpivsqpgafsngqtavvprsrvnaeqeakpmfkfgpgttldeivravnqvgaapgdlmailealkqagalqadlivi,10.03,0.27,4.88,2.71,3.25,10.84,0.54,6.5,3.79,8.67,1.63,5.96,5.69,5.69,4.07,7.05,6.5,11.11,0.0,0.81,0
68,NonAllergen_1172,mepsaedggatsssraekgepprdpveqaraiclrlltgtprtrrqladalrkreipeeaaeevlsrfeevglindgafaqawvesrhhgrglarralarelrtkgveaalidvavsqldteqeeetardlvarklratrgldrdkrlrrlagmlarkgysegmalrvvrqaleeegedtehlgdegf,13.3,0.53,5.85,13.83,1.6,8.51,1.6,2.13,3.19,11.17,1.6,0.53,3.19,3.19,14.36,4.26,4.79,5.32,0.53,0.53,0
69,NonAllergen_7432,mpksviipagssaplapfvpgtladgvvyvsgtlafdqhnnvlfaddpkaqtrhvleiirkvietaggtmadvtfnsifitdwknyaaineiyaeffpgdkparfciqcglvkpdalveiatiahiak,13.28,1.56,6.25,3.91,6.25,6.25,2.34,10.16,5.47,5.47,1.56,3.91,7.03,2.34,2.34,3.91,6.25,8.59,0.78,2.34,0
70,NonAllergen_707,mklyclsghptlpcnvlkfksttimldcgldmtstlnflplplvqsprlsnlpgwslkdgnafldkelkecsghvfvdsvpefclpetelidlstvdvilisnyhcmmalpyitehtgftgtvyateptvqigrllmeelvnfiervpkaqsaslwknkdiqrllpsplkdavevstwrrcytmqevnsalskiqlvgysqkielfgavqvtplssgyalgssnwiiqshyekvsyvsgsslltthpqpmdqaslknsdvlvltgltqiptanpdgmvgefcsnlaltvrnggnvlvpcypsgviydlleclyqyidsaglssvplyfispvansslefsqifaewlchnkqskvylpeppfphaeliqtnklkhypsihgdfsndfrqpcvvftghpslrfgdvvhfmelwgksslntviftepdfsylealapyqplamkciycpidtrlnfiqvskllkevqplhvvcpeqytqpppaqshrmdlmidcqppamsyrraevlalpfkrryekieimpeladslvpmeikpgislatvsavlhtkdnkhllqppprpaqptsgkkrkrvsddvpdckvlkpllsgsipveqfvqtlekhgfsdikvedtakghivllqeaetliqieedsthiicdndemlrvrlrdlvlkflqkf,4.41,2.74,4.86,5.78,3.95,4.41,2.89,5.32,5.62,12.46,2.58,3.34,7.9,4.71,3.19,8.51,5.32,7.75,0.91,3.34,0
71,NonAllergen_2479,mpaesgkrfkpskyvpvsaaaiflvgattlffaftcpglslnvspavpiynaimflfvlanfsmatfmdpgifpraeededkeddfraplyktveikgiqvrmkwcatcrfyrpprcshcsvcdncveefdhhcpwvnncigrrnyryfflfllsltahimgvfgfgllyvlyhieelsgvrtavtmavmcvaglffipvagltgfhvvlvargrttneqvtgkfrggvnpftngccnnvsrvlcsspaprylgrpkkektivirppflrpevsdgqitvkimdngiqgelrrtkskgsleitesqsadaepppppkpdlsrytglrthlslatnedssllgkdspptptmykyrpgysssstsaamphsssaklsrgdslkeptsiadssrhpsyrsepslepesfrsptfgksfhfdplssgsrssslksaqgtgfelgqlqsirsegttstsykslanqtrngslsydslltpsdspdfesvqagpepdpplgytspflsarlaqqreaerhprllptgpphrepspvrydnlsrhivaslqerekllrqspplagreeepglgdsgiqstpgsghaprtssssddskrsplsktplgrpavprfgkpdglrsrglgspepgttapylgrsisyssqkapsgvseteevalqplltpkdevqlkttysksngqpksigsaspgpgqpplssptrggvkkvsgvggttyeisv,5.73,1.82,3.64,5.59,4.48,8.39,1.96,3.22,4.62,8.53,1.54,2.52,10.07,2.8,6.85,13.01,6.43,5.45,0.28,3.08,0
73,NonAllergen_3859,mhpqrkqrlmivlfivvfsslavgliayalreninlfyppskiaagdvphntriraggcvkpgsvvrsqenldvrfvitdgnadvvvsytgilpdlfaegeaavingivteagdiqasevlakhdetymppevaeamkgkgqhqatcgglnyga,11.04,1.3,4.55,5.84,3.25,9.74,2.6,7.14,3.9,7.14,2.6,4.55,5.19,3.9,4.55,4.55,3.9,11.04,0.0,3.25,0
74,NonAllergen_8264,malsdpigdmltrirngqrarkssvmapastmranvldvliregyirgyekvdvrkgiaelrvelkyhegepvireiarvstpgrrvyskikdlpkvynglgisilstprgvmsdhearqanvggevlcrvf,6.82,0.76,4.55,6.82,0.76,9.09,1.52,7.58,5.3,7.58,3.79,3.03,4.55,1.52,12.12,6.82,3.03,10.61,0.0,3.79,0
75,NonAllergen_4727,mskvlvlkssilggysqsallvdyligkwekqgatitvrdlagkdvlpmvdgeiasglrggaeltarqqemldlsnalveelkandtivitapmynfniptqlknwidfvaragvtftytengpkglvegkravlittrggahkdgptdhmvpflktflgfigitdvdvvyaealnmgpeanqkgiseakasidklav,9.6,0.0,6.06,5.56,3.03,10.1,1.01,6.57,7.07,10.61,3.03,4.04,3.54,3.03,3.03,4.55,7.07,8.59,1.01,2.53,0
76,NonAllergen_1372,mprvakpkaaapakkvvsakkaksklykmpekvkegtvftdlakgqwrigpsigvggfgeiyaackvgeknydavvkcephgngplfvemhfylrnakledikqfmqkhglkslgmpyilangsvevngekhrfivmprygsdltkfleqngkrlpegtvyrlaiqmldvyqymhsngyvhadlkaanillglekggaaqaylvdfglashfvtgdfkpdpkkmhngtieytsrdahlgvptrradleilgynliewlgaelpwvtqkllavppkvqkakeafmdnigeslktlfpkgvpppigdfmkyvsklthnqepdydkcrswfssalkqlkipnngdldfkmkpqtssnnnlsppgtskaatarkakkidspvlnssldekisaseddeeeeekshrkktakkvtpsarnakvsplkrvadssppsqkrvktepkstpreratpkaspkprstpkaspkpqtptaarlrtpnakinfspsislrgrpggktvinddltpqprskktyefnfeldvsmdanvivnvkrkkkadqdkatavdsrtpssrsalassskeeaspvtrvnlrkvnghgdsstpgrsprtpavtvrkyqg,8.51,0.5,5.01,5.34,3.01,6.51,2.0,3.34,11.85,7.18,2.17,4.51,8.18,2.84,5.34,8.18,5.34,6.68,0.67,2.84,0
77,NonAllergen_7902,marnaisddeedheledddgepvhgdpaehdenddeeddddvgneyendgfivndedeeeeeeedeerkdsdeerqkkkkkrkkkdegldeddylllqdnnvkfkkrqykrlkkaqreqgngqgessddefdsrggtrrsaedkikdrlfddvdvddppddvgdeedlvveedvvgsedemadfivdeddehgppkrgnskkkkyrqgsditamrdaneifgdvdelltirkkglasnqrmerrledefeptvlsekymtgnddeirqldipermqiseestgsppvdeisieeesnwiyaqlasqlresdgtfdgrgfsvnkddiakflelhhvqkleipfiamyrkeqcrslldtgdfdganqgkkpetkwhkvfwmihdldkkwlllrkrkmalhgyytkryeeesrrvydetrlnlnqylfesvikslkvaeterevddvdskfnlhfppgeigvdegqykrpkrksqysicskaglwevankfgysaeqlglalsleklvdeledaketpeemaknfvcamfenslavlkgarhmaaveiscepsvkkyvrgiymenavvstsptadgntvidsfhqfsgikwlrekplskfegaqwlliqkgeeekllqvtfklpenymnrlisdcnehylsvgvskyaqlwneqrkliledalhafllpsmekearslltsraksrllseygqalwnkvsagpyqkkemdinldeeaaprvmaccwgpgkppntfvmldssgevldvlyagsltsrsqnvndqqrkksdqdrvlkfmmdhqphvvalgavnlsctrlkddiyevifqmveekprdvghgmddlsivyvdeslprlyensrisgeqlpqqsgnvrravalgrylqnplamvatlcgpgreilswklhplenflqldekygmveqvmvditnqvgidinlaashdwffsplqfisglgprkaaslqrslvragsifvrkdlimhglgkkvfvnaagflrirrsglaasssqfidllddtrihpesyslaqelakdiydedvrgdsnddedaiemaiehvrdrpaslrkvvldeylaskkrenkketysniirelscgfqdwripfkepspdeefymisgetedtiaegrivqasvrrlqngraicvldsgltgmlmkedfsddgrdivdladqlkegdiltckiksiqkqryqvflickesemrnnrhqhnqnvdayyhedrnslqlvkekarkekelvrkhfksrmivhprfqnitadqateylsdkdfgesivrpssrglnfltltlkiydgvyahkeiaeggkenkditslqcigktltigedtfedldevmdryvdplvshlktmlnyrkfrkgtksevddllriekgenpsrivycfgishehpgtfilsyirstnphheyiglypkgfkfrkrmfedidrlvayfqrhiddplqesapsirsiaakvpmrspadhgssggsgwgssqseggwkgnsdrsgsgrggeyrngggrdghpsgaprpyggrgrgrgrgrrddmnsdrqdgngdwgnndtgtadggwgnsggggwgsesagkktgggstggwgsesggnksdgagswgsgsggggsggwgndsggkkssedggfgsgsggggsdwgnesggkkssadggwgsesggkksdgeggwgnepssrksdgggggw,4.98,0.91,9.17,9.29,3.22,10.08,2.19,4.55,7.41,7.71,2.25,4.01,3.34,3.7,6.56,8.32,2.73,5.16,1.52,2.91,0
79,NonAllergen_4909,mqhefwhqrwqenrigfhqftpspllvdyfnelglktsarifvplsgktldiswllqqgyhvvaielsqiavtslieqlvedfdiqfesseknnlihyhhpqidifvgdffdlskeqlgqvdaifdraalialpddirqdyvqhlieisgaasqflisyqydagshegppfsvnaeeikqlyaeaydirllkeqlvdasqnkgnhpkstlwiltakf,6.91,0.0,6.91,6.91,6.45,4.61,4.61,8.76,4.15,11.06,0.46,3.23,3.69,8.76,2.76,7.37,2.76,5.07,1.84,3.69,0
